"Date" "State" "Temperature" "CO" "NO2" "SO2" "Pressure"
2013-01-01 "California" 5.61 0.52 11.35 0.53 984.93
2013-01-02 "California" 6.5 0.59 15.83 0.69 983.13
2013-01-03 "California" 6.93 0.65 17.32 0.75 983.95
2013-01-04 "California" 6.57 0.65 18.79 0.79 985.96
2013-01-05 "California" 7.11 0.64 16.98 0.7 985.09
2013-01-06 "California" 6.97 0.45 9.61 0.43 981.56
2013-01-07 "California" 7.94 0.5 13.04 0.53 981.83
2013-01-08 "California" 9.77 0.64 17.42 0.78 982.71
2013-01-09 "California" 9.78 0.64 16.55 0.74 980.25
2013-01-10 "California" 6.21 0.34 8.83 0.34 977.86
2013-01-11 "California" 3.83 0.41 12.42 0.4 981.75
2013-01-12 "California" 3.08 0.44 12.68 0.54 982.1
2013-01-13 "California" 2.35 0.5 11.97 0.66 982.46
2013-01-14 "California" 2.69 0.44 12.89 0.52 987.09
2013-01-15 "California" 5.05 0.57 18.2 0.78 991.28
2013-01-16 "California" 7.96 0.69 19.47 1.04 988.99
2013-01-17 "California" 9.84 0.68 19.08 0.94 985.37
2013-01-18 "California" 10.12 0.64 19.08 0.78 984.31
2013-01-19 "California" 10.28 0.6 16.32 0.7 984.91
2013-01-20 "California" 10.25 0.56 14.54 0.64 984.06
2013-01-21 "California" 11.07 0.58 17.61 0.81 982.68
2013-01-22 "California" 11.39 0.67 21.21 0.86 981.74
2013-01-23 "California" 12.64 0.64 21.23 0.74 980.63
2013-01-24 "California" 12.12 0.4 13.14 0.46 982.46
2013-01-25 "California" 12.51 0.42 12.44 0.39 981.18
2013-01-26 "California" 11.76 0.34 7.14 0.33 976.93
2013-01-27 "California" 8.31 0.29 5.11 0.27 978.23
2013-01-28 "California" 6.51 0.36 9.48 0.33 981.61
2013-01-29 "California" 7.93 0.46 13.37 0.47 984.85
2013-01-30 "California" 9.78 0.59 16.08 0.7 987.08
2013-01-31 "California" 11.12 0.61 17.51 0.72 985.57
2013-02-01 "California" 11.58 0.63 18.05 1.04 983.71
2013-02-02 "California" 12.39 0.59 15.57 0.81 984.73
2013-02-03 "California" 12.11 0.42 10.57 0.56 982.01
2013-02-04 "California" 11.17 0.45 13.95 0.92 980.31
2013-02-05 "California" 10.18 0.38 11.49 0.35 977.85
2013-02-06 "California" 9.7 0.37 11.7 0.4 980.2
2013-02-07 "California" 8.33 0.42 11.39 0.45 979.18
2013-02-08 "California" 6.06 0.33 8.78 0.32 974.61
2013-02-09 "California" 6.12 0.39 10.33 0.38 977.52
2013-02-10 "California" 6.46 0.41 10.28 0.45 978.99
2013-02-11 "California" 7.4 0.45 12.86 0.43 982.07
2013-02-12 "California" 8.07 0.49 16.47 0.56 986.82
2013-02-13 "California" 9.31 0.56 17.93 0.69 985.33
2013-02-14 "California" 11.53 0.6 18.07 0.69 983.78
2013-02-15 "California" 13.92 0.52 16.13 0.62 985.29
2013-02-16 "California" 13.29 0.46 14.39 0.53 982.06
2013-02-17 "California" 10.89 0.4 9.67 0.44 976.72
2013-02-18 "California" 9.82 0.32 7.5 0.38 976.66
2013-02-19 "California" 7.27 0.29 6.32 0.27 971.52
2013-02-20 "California" 6.42 0.31 8.05 0.34 972.82
2013-02-21 "California" 7.12 0.35 11.59 0.36 978.96
2013-02-22 "California" 8.46 0.44 13.7 0.5 983.02
2013-02-23 "California" 9.14 0.39 8.68 0.4 979.42
2013-02-24 "California" 8.83 0.32 7.73 0.31 981.83
2013-02-25 "California" 9.23 0.39 14.1 0.51 982.55
2013-02-26 "California" 10.18 0.42 14.29 0.55 981.03
2013-02-27 "California" 11.29 0.43 15.07 0.66 986.04
2013-02-28 "California" 12.83 0.44 15.28 0.5 989.08
2013-03-01 "California" 15.12 0.46 16.34 0.64 987.48
2013-03-02 "California" 16.01 0.42 13.87 0.7 982.98
2013-03-03 "California" 14.37 0.35 7.48 0.46 977.95
2013-03-04 "California" 12.37 0.29 8.04 0.3 978.86
2013-03-05 "California" 11.89 0.31 8.1 0.34 977.38
2013-03-06 "California" 10.57 0.28 6.56 0.3 977.5
2013-03-07 "California" 9.38 0.29 7.85 0.37 974.54
2013-03-08 "California" 8.11 0.28 6.51 0.33 972.86
2013-03-09 "California" 9.98 0.3 7.06 0.38 981.91
2013-03-10 "California" 11.72 0.35 9.89 0.54 984.82
2013-03-11 "California" 13.04 0.43 14.4 0.7 981.74
2013-03-12 "California" 14.92 0.45 16 0.61 980.5
2013-03-13 "California" 16.76 0.46 16.05 0.65 981.12
2013-03-14 "California" 17.34 0.43 14.75 0.48 980.2
2013-03-15 "California" 16.59 0.39 13.33 0.57 977.91
2013-03-16 "California" 15.47 0.31 7.81 0.39 976.1
2013-03-17 "California" 14.39 0.28 5.62 0.4 977.05
2013-03-18 "California" 13.7 0.3 9.57 0.45 978.18
2013-03-19 "California" 14.87 0.33 10.85 0.43 979.26
2013-03-20 "California" 14.99 0.34 10.75 0.41 978.17
2013-03-21 "California" 13.8 0.3 8.07 0.35 974.25
2013-03-22 "California" 13.11 0.29 8.42 0.45 974.02
2013-03-23 "California" 12.77 0.31 9.19 0.42 977.06
2013-03-24 "California" 13.81 0.33 9.09 0.46 976.34
2013-03-25 "California" 14.38 0.36 11.63 0.41 975.35
2013-03-26 "California" 14.21 0.3 8.95 0.4 974.67
2013-03-27 "California" 14.31 0.28 7.61 0.47 975.54
2013-03-28 "California" 14.9 0.3 8.95 0.49 978.25
2013-03-29 "California" 16.11 0.32 10.04 0.5 979.37
2013-03-30 "California" 16.67 0.29 6.63 0.45 978.65
2013-03-31 "California" 14.54 0.27 3.69 0.35 978.89
2013-04-01 "California" 13.73 0.28 5.29 0.35 979.82
2013-04-02 "California" 14.77 0.29 7.42 0.45 980.06
2013-04-03 "California" 16.36 0.34 9.9 0.47 979.07
2013-04-04 "California" 16.07 0.29 7.17 0.39 978.07
2013-04-05 "California" 15.08 0.27 5.32 0.38 976.07
2013-04-06 "California" 15.29 0.27 4.51 0.3 976.16
2013-04-07 "California" 15.5 0.28 3.85 0.39 972.03
2013-04-08 "California" 12.05 0.27 3.81 0.33 966.42
2013-04-09 "California" 13.66 0.29 6.64 0.41 971.42
2013-04-10 "California" 17.04 0.33 10.13 0.59 976.52
2013-04-11 "California" 16.31 0.32 8.57 0.52 970.48
2013-04-12 "California" 16.51 0.29 8.42 0.58 969.07
2013-04-13 "California" 16.07 0.28 5.65 0.48 968.87
2013-04-14 "California" 14.74 0.27 3.34 0.43 967.99
2013-04-15 "California" 12.3 0.27 4.28 0.42 967.96
2013-04-16 "California" 10.6 0.29 5.09 0.41 972.11
2013-04-17 "California" 12.24 0.29 7.01 0.43 977.87
2013-04-18 "California" 14.51 0.31 10.02 0.55 980.91
2013-04-19 "California" 16.9 0.34 12.14 0.71 978.14
